geo_accession	series_id_raw	series_id_resolved
GSM2724455	GSE98183	GSE98183
GSM2724456	GSE98183	GSE98183
GSM2724457	GSE98183	GSE98183
GSM2724460	GSE98183	GSE98183
GSM2724461	GSE98183	GSE98183
GSM2724462	GSE98183	GSE98183
GSM2724463	GSE98183	GSE98183
GSM2724464	GSE98183	GSE98183
GSM2724465	GSE98183	GSE98183
GSM2731727	GSE102246	GSE102246
GSM2731728	GSE102246	GSE102246
GSM2731729	GSE102246	GSE102246
GSM2731730	GSE102246	GSE102246
GSM2731731	GSE102246	GSE102246
GSM2731732	GSE102246	GSE102246
GSM2731733	GSE102246	GSE102246
GSM2731734	GSE102246	GSE102246
GSM2731735	GSE102246	GSE102246
GSM2731736	GSE102246	GSE102246
GSM2731737	GSE102246	GSE102246
GSM2731738	GSE102246	GSE102246
GSM2731739	GSE102246	GSE102246
GSM2731740	GSE102246	GSE102246
GSM2731741	GSE102246	GSE102246
GSM2731742	GSE102246	GSE102246
GSM2731743	GSE102246	GSE102246
GSM2731744	GSE102246	GSE102246
GSM2731745	GSE102246	GSE102246
GSM2731746	GSE102246	GSE102246
GSM2731747	GSE102246	GSE102246
GSM2731748	GSE102246	GSE102246
GSM2731749	GSE102246	GSE102246
GSM2731750	GSE102246	GSE102246
GSM2731751	GSE102246	GSE102246
GSM2731752	GSE102246	GSE102246
GSM2731753	GSE102246	GSE102246
GSM3004406	GSE110626	GSE110626
GSM3004407	GSE110626	GSE110626
GSM3004408	GSE110626	GSE110626
GSM3004415	GSE110626	GSE110626
GSM3004416	GSE110626	GSE110626
GSM3004417	GSE110626	GSE110626
GSM3004418	GSE110626	GSE110626
GSM3004425	GSE110626	GSE110626
GSM3004426	GSE110626	GSE110626
GSM3068889	GSE112372	GSE112372
GSM3068890	GSE112372	GSE112372
GSM3068891	GSE112372	GSE112372
GSM3068892	GSE112372	GSE112372
GSM3068893	GSE112372	GSE112372
GSM3068894	GSE112372	GSE112372
GSM3068895	GSE112372	GSE112372
GSM3068896	GSE112372	GSE112372
GSM3068897	GSE112372	GSE112372
GSM3068898	GSE112372	GSE112372
GSM3068899	GSE112372	GSE112372
GSM3068900	GSE112372	GSE112372
GSM3068901	GSE112372	GSE112372
GSM3068902	GSE112372	GSE112372
GSM3068903	GSE112372	GSE112372
GSM3068904	GSE112372	GSE112372
GSM3068905	GSE112372	GSE112372
GSM3068906	GSE112372	GSE112372
GSM3068907	GSE112372	GSE112372
GSM3230539	GSE116392	GSE116392
GSM3230540	GSE116392	GSE116392
GSM3230541	GSE116392	GSE116392
GSM3230542	GSE116392	GSE116392
GSM3230543	GSE116392	GSE116392
GSM3230544	GSE116392	GSE116392
GSM3377950	GSE119587,GSE119588	GSE119587
GSM3377951	GSE119587,GSE119588	GSE119587
GSM3377952	GSE119587,GSE119588	GSE119587
GSM3377953	GSE119587,GSE119588	GSE119587
GSM3377954	GSE119587,GSE119588	GSE119587
GSM3377955	GSE119587,GSE119588	GSE119587
GSM3382133	GSE119749,GSE119751	GSE119749
GSM3382134	GSE119749,GSE119751	GSE119749
GSM3382135	GSE119749,GSE119751	GSE119749
GSM3382136	GSE119749,GSE119751	GSE119749
GSM3382137	GSE119749,GSE119751	GSE119749
GSM3382138	GSE119749,GSE119751	GSE119749
GSM3382139	GSE119749,GSE119751	GSE119749
GSM3382140	GSE119749,GSE119751	GSE119749
GSM3382141	GSE119749,GSE119751	GSE119749
GSM3382142	GSE119749,GSE119751	GSE119749
GSM3382143	GSE119749,GSE119751	GSE119749
GSM3382144	GSE119749,GSE119751	GSE119749
GSM3382145	GSE119749,GSE119751	GSE119749
GSM3382146	GSE119749,GSE119751	GSE119749
GSM3382147	GSE119749,GSE119751	GSE119749
GSM3382148	GSE119749,GSE119751	GSE119749
GSM3452849	GSE122002,GSE122003	GSE122002
GSM3452850	GSE122002,GSE122003	GSE122002
GSM3452851	GSE122002,GSE122003	GSE122002
GSM3452852	GSE122002,GSE122003	GSE122002
GSM3452853	GSE122002,GSE122003	GSE122002
GSM3452854	GSE122002,GSE122003	GSE122002
GSM3452855	GSE122002,GSE122003	GSE122002
GSM3452856	GSE122002,GSE122003	GSE122002
GSM3474011	GSE122568	GSE122568
GSM3474012	GSE122568	GSE122568
GSM3474013	GSE122568	GSE122568
GSM3474014	GSE122568	GSE122568
GSM3474015	GSE122568	GSE122568
GSM3474016	GSE122568	GSE122568
GSM3474017	GSE122568	GSE122568
GSM3474018	GSE122568	GSE122568
GSM3474019	GSE122568	GSE122568
GSM3474020	GSE122568	GSE122568
GSM3474021	GSE122568	GSE122568
GSM3474022	GSE122568	GSE122568
GSM3612189	GSE126753	GSE126753
GSM3612190	GSE126753	GSE126753
GSM3612191	GSE126753	GSE126753
GSM3612192	GSE126753	GSE126753
GSM3612193	GSE126753	GSE126753
GSM3612195	GSE126753	GSE126753
GSM3612196	GSE126753	GSE126753
GSM3612197	GSE126753	GSE126753
GSM3612198	GSE126753	GSE126753
GSM3612200	GSE126753	GSE126753
GSM3612201	GSE126753	GSE126753
GSM3612202	GSE126753	GSE126753
GSM3612203	GSE126753	GSE126753
GSM3612204	GSE126753	GSE126753
GSM3612205	GSE126753	GSE126753
GSM3717999	GSE129643	GSE129643
GSM3718000	GSE129643	GSE129643
GSM3718001	GSE129643	GSE129643
GSM3718002	GSE129643	GSE129643
GSM3718003	GSE129643	GSE129643
GSM3718004	GSE129643	GSE129643
GSM3718005	GSE129643	GSE129643
GSM3718006	GSE129643	GSE129643
GSM3718007	GSE129643	GSE129643
GSM3718008	GSE129643	GSE129643
GSM3718009	GSE129643	GSE129643
GSM3718010	GSE129643	GSE129643
GSM3718011	GSE129643	GSE129643
GSM3718012	GSE129643	GSE129643
GSM3718013	GSE129643	GSE129643
GSM3718014	GSE129643	GSE129643
GSM3718015	GSE129643	GSE129643
GSM3718016	GSE129643	GSE129643
GSM3718017	GSE129643	GSE129643
GSM3718018	GSE129643	GSE129643
GSM3718019	GSE129643	GSE129643
GSM3718020	GSE129643	GSE129643
GSM3718021	GSE129643	GSE129643
GSM3718023	GSE129643	GSE129643
GSM3718024	GSE129643	GSE129643
GSM3718027	GSE129643	GSE129643
GSM3718029	GSE129643	GSE129643
GSM3718030	GSE129643	GSE129643
GSM3718032	GSE129643	GSE129643
GSM3718036	GSE129643	GSE129643
GSM3718038	GSE129643	GSE129643
GSM3718043	GSE129643	GSE129643
GSM3718044	GSE129643	GSE129643
GSM3718047	GSE129643	GSE129643
GSM3718048	GSE129643	GSE129643
GSM3718049	GSE129643	GSE129643
GSM3718051	GSE129643	GSE129643
GSM3734078	GSE130219	GSE130219
GSM3734079	GSE130219	GSE130219
GSM3734080	GSE130219	GSE130219
GSM3734081	GSE130219	GSE130219
GSM3734082	GSE130219	GSE130219
GSM3734083	GSE130219	GSE130219
GSM3734084	GSE130219	GSE130219
GSM3755986	GSE130903	GSE130903
GSM3755987	GSE130903	GSE130903
GSM3755988	GSE130903	GSE130903
GSM3755989	GSE130903	GSE130903
GSM3755990	GSE130903	GSE130903
GSM3755991	GSE130903	GSE130903
GSM3755992	GSE130903	GSE130903
GSM3755993	GSE130903	GSE130903
GSM3755994	GSE130903	GSE130903
GSM3755995	GSE130903	GSE130903
GSM3755996	GSE130903	GSE130903
GSM3755997	GSE130903	GSE130903
GSM3881026	GSE132610	GSE132610
GSM3881027	GSE132610	GSE132610
GSM3881028	GSE132610	GSE132610
GSM3881029	GSE132610	GSE132610
GSM3881030	GSE132610	GSE132610
GSM3881031	GSE132610	GSE132610
GSM3881032	GSE132610	GSE132610
GSM3881033	GSE132610	GSE132610
GSM3939854	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939855	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939856	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939857	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939858	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939859	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939860	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939861	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939862	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939863	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939864	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939865	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939866	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939867	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939868	GSE131817,GSE134228,GSE167606	GSE134228
GSM3939869	GSE131817,GSE134228,GSE167606	GSE134228
GSM3983072	GSE134981	GSE134981
GSM3983073	GSE134981	GSE134981
GSM3983074	GSE134981	GSE134981
GSM3983075	GSE134981	GSE134981
GSM3983076	GSE134981	GSE134981
GSM3983077	GSE134981	GSE134981
GSM3983078	GSE134981	GSE134981
GSM3983079	GSE134981	GSE134981
GSM3983080	GSE134981	GSE134981
GSM4007674	GSE135400	GSE135400
GSM4007675	GSE135400	GSE135400
GSM4007676	GSE135400	GSE135400
GSM4007677	GSE135400	GSE135400
GSM4007678	GSE135400	GSE135400
GSM4007679	GSE135400	GSE135400
GSM4007680	GSE135400	GSE135400
GSM4007681	GSE135400	GSE135400
GSM4007682	GSE135400	GSE135400
GSM4007683	GSE135400	GSE135400
GSM4066252	GSE137053,GSE163076	GSE137053
GSM4066253	GSE137053,GSE163076	GSE137053
GSM4066254	GSE137053,GSE163076	GSE137053
GSM4066255	GSE137053,GSE163076	GSE137053
GSM4066256	GSE137053,GSE163076	GSE137053
GSM4066257	GSE137053,GSE163076	GSE137053
GSM4066258	GSE137053,GSE163076	GSE137053
GSM4066259	GSE137053,GSE163076	GSE137053
GSM4066260	GSE137053,GSE163076	GSE137053
GSM4073827	GSE137245,GSE160583	GSE137245
GSM4073828	GSE137245,GSE160583	GSE137245
