"cluster_id","entita","k","n_studi_accusati","peso_contaminato","verdetto","esito","n_studi_tolti","spearman","n_sig_pieno","n_sig_persi","pct_sig_persi","max_abs_delta_logFC","k_pieno","k_ridotto","sopravvive","percentile_sig","percentile_spearman","percentile_delta","n_nulli","bracci_accusati","bracci_nulli_mediana"
"cgroup_L5_d631ee89","IL3",4,1,26.3914021180788,"difettosa","ok",1,0.586760974806084,410,112,27.3170731707317,0.0789118617931445,4,3,TRUE,0.333333333333333,0.333333333333333,0.333333333333333,3,1,1
"cgroup_L5_5927750b","carfilzomib",4,1,26.2474302375286,"difettosa","ok",1,0.462166264639381,1414,527,37.2701555869873,0.122654548412306,4,3,TRUE,0.666666666666667,0.666666666666667,0.333333333333333,3,2,2
"cgroup_L5_fea19ca0","IFNB1",7,2,25.8823545689215,"difettosa","ok",2,0.624625236853199,2109,667,31.6263632053106,0.267614608188331,7,5,TRUE,0.3,0.5,0.2,20,3,2
"cgroup_L5_889ec305","Colorectal Neoplasms",5,1,24.2648051502855,"difettosa","ok",1,0.67286683375676,2397,1017,42.4280350438048,0.880982348252084,5,4,TRUE,0.5,0.75,0.75,4,4,1
"cgroup_L5_b2affd22","Pre-Eclampsia",6,1,23.4437548236711,"difettosa","ok",1,0.421740028861355,1678,729,43.4445768772348,0.20932696736035,6,5,TRUE,0.8,1,0.6,5,4,1
"cgroup_L5_1bbf4b9b","Stomach Neoplasms",5,1,22.1057163817137,"difettosa","ok",1,0.631354326003553,946,236,24.9471458773784,0.565721908356953,5,4,TRUE,0.5,0.5,0.5,4,1,1
"cgroup_L5_522fa0c2","sals",5,1,21.9050031733929,"difettosa","ok",1,-0.103574702108158,45,39,86.6666666666667,1.12225804673322,3,3,TRUE,1,1,1,4,1,1
"cgroup_L5_49d55bfd","IL4",5,1,21.4298698347404,"difettosa","ok",1,0.543751949626232,612,249,40.6862745098039,1.6928058255598,4,4,TRUE,0.75,1,1,4,2,1
"cgroup_L5_3a58e5f5","prostaglandin E2",3,1,21.2899350399555,"difettosa","ok",1,0.805007413292478,2353,415,17.6370590735232,0.416843074679248,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_7805eee6","covid 19",6,1,21.2021384173406,"difettosa","ok",1,0.431011205997502,786,335,42.6208651399491,1.25063637209399,5,4,TRUE,0.8,1,0.6,5,1,1
"cgroup_L5_82f82010","diabetic",4,1,20.3884984426315,"difettosa","ok",1,0.818031544243221,143,34,23.7762237762238,0.496854734870794,4,3,TRUE,0,0,0,3,1,1
"cgroup_L5_87c40ebb","IFNG",16,3,20.288964335466,"difettosa","ok",3,0.824905442163409,1939,747,38.5250128932439,1.0803125209928,16,13,TRUE,0.95,0.45,0.7,20,4,3
"cgroup_L5_930c8dcf","DHT (5alpha-dihydrotestosterone)",16,3,20.2442950065541,"difettosa","ok",3,0.786068249844069,2372,959,40.4300168634064,0.422502925808034,16,13,TRUE,0.7,0.1,0.5,20,3,3
"cgroup_L5_90db4e34","testosterone",4,1,19.1041942085953,"difettosa","ok",1,0.828280065689943,515,171,33.2038834951456,0.0315287295750902,3,3,TRUE,0.333333333333333,0,0.333333333333333,3,1,1
"cgroup_L5_bd19fe42","Carcinoma, Hepatocellular",6,1,18.8990013378751,"difettosa","ok",1,0.615339363616772,105,48,45.7142857142857,0.567703924025158,5,5,TRUE,0.8,0.6,0.6,5,1,1
